,university,career,inscription_date,first_name,last_name,gender,fecha_nacimiento,age,postal_code,location,email
0,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,19-Apr-20,MR._NICHOLAS_GREER_MD,,M,11-Mar-42,,,ARROYO_LAS_MINAS,NOAHGATES@HOTMAIL.COM
1,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,17-Nov-19,MEGAN_AYALA,,F,17-Nov-05,,,ARGERICH,LRIVERA@HOTMAIL.COM
2,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PSICOLOGÍA,01-Jan-20,BLAKE_AUSTIN,,M,28-Oct-93,,,COLONIA_NAC_DE_ALIENADOS,LGONZALEZ@HOTMAIL.COM
3,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_MECÁNICA,19-Oct-19,AMY_WONG,,F,28-Nov-07,,,EL_SOMBRERITO,RWOODS@GMAIL.COM
4,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_MECÁNICA,08-Dec-19,TARA_ARMSTRONG_DVM,,F,20-Jul-94,,,AGUADA_DEL_LORO,JOHNSTONSARAH@GMAIL.COM
5,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,31-Dec-19,SEAN_RIVERA,,M,23-Jul-47,,,BALNEARIO_LOS_ANGELES,ELIZABETH72@GMAIL.COM
6,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,MEDICINA,11-May-20,RICHARD_GRAHAM,,M,09-Mar-44,,,ALGARROBAL,JACKSONSARAH@GMAIL.COM
7,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,AGRONOMÍA,19-Jun-20,STEPHANIE_JACOBSON,,F,14-May-66,,,CASIRA,RENEE72@HOTMAIL.COM
8,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,16-Jul-20,SARAH_LINDSEY,,F,10-Apr-43,,,BLANDENGUES,XJOHNSON@GMAIL.COM
9,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,02-Jul-20,SHANE_BURNS,,M,19-Jul-52,,,ALASTUEY,HORTONKIMBERLY@YAHOO.COM
10,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,26-Apr-20,TIMOTHY_GORDON,,M,25-Aug-13,,,MAORI,MARISSA19@HOTMAIL.COM
11,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,18-Nov-19,ISABEL_JONES,,F,11-Sep-09,,,COLONIA_FREITAS,SARAHHANSON@GMAIL.COM
12,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,FARMACIA,11-Dec-19,JACQUELINE_JACKSON,,F,30-Jul-51,,,LAVALLE,BRIANNA72@YAHOO.COM
13,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_EN_INFORMÁTICA,28-Dec-19,CORY_CLARK,,M,27-Oct-39,,,COLPES,SUZANNE00@HOTMAIL.COM
14,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,01-Mar-20,JOSHUA_LEWIS,,M,04-Mar-58,,,25_DE_MAYO,HBENNETT@HOTMAIL.COM
15,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,17-Jun-20,SHERRY_SHAW,,F,18-Feb-81,,,ALDEA_MARIA_LUISA,VSMITH@HOTMAIL.COM
16,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,AGRONOMÍA,12-Dec-19,JASON_RODRIGUEZ,,M,08-Jan-09,,,BRAVO_DEL_DOS,REYNOLDSMARY@HOTMAIL.COM
17,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,05-Mar-20,JENNIFER_JOYCE,,F,21-Oct-70,,,BARRIO_LA_DOLLY,WILLIAMSRYAN@GMAIL.COM
18,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,28-May-20,SCOTT_NELSON,,M,26-Aug-37,,,WILDE,CYNTHIA44@GMAIL.COM
19,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,16-Mar-20,JASMINE_LEBLANC,,F,05-Jan-66,,,CAMINERA,JONESJOHN@HOTMAIL.COM
20,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,21-Jun-20,JILL_WEST,,F,15-Nov-28,,,PASO_DE_LOS_ANDES,YWEST@YAHOO.COM
21,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_GESTIÓN_DE_AGROALIMENTOS,25-Jul-20,CHAD_STEWART,,M,06-Jan-18,,,COLONIA_DURAN,MORGANLAURA@GMAIL.COM
22,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,19-Jun-20,ARIANA_MENDOZA,,F,29-Jan-54,,,VICTORIA,CUEVASLORI@HOTMAIL.COM
23,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_MUSICOTERAPIA,21-Mar-20,KIM_STEPHENS,,F,10-Sep-12,,,QUIÑIHUAL_ESTACION,DBRIGGS@HOTMAIL.COM
24,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,28-Jan-20,HEATHER_KING,,F,03-Mar-14,,,LOMAS_DE_ZAMORA,KEVINMARTIN@GMAIL.COM
25,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_Y_TECNOLOGÍA_DE_ALIMENTOS,12-Jan-20,ROBERT_LONG,,M,20-Jun-96,,,BARRIO_BATAN,WILLIAMSBIANCA@GMAIL.COM
26,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,TÉCNICO_PARA_BIOTERIOS_,06-Jun-20,CHRISTOPHER_SELLERS,,M,02-Dec-74,,,LAS_PALMAS,JERRYBURNS@YAHOO.COM
27,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,INGENIERÍA_ELECTRÓNICA,14-Jun-20,YVONNE_VASQUEZ,,F,02-Feb-37,,,AMANA,MARYGRIFFITH@HOTMAIL.COM
28,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_INDUSTRIAL,02-Dec-19,ALYSSA_SMITH,,F,21-May-47,,,COLONIA_CALIFORNIA,SALLY98@YAHOO.COM
29,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_MUSICOTERAPIA,22-May-20,ANDREA_ROSS,,F,07-Jan-06,,,AGUADA_DE_LA_PEÑA,OOLSON@YAHOO.COM
30,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_MUSICOTERAPIA,18-Jun-20,BRIAN_STANLEY,,M,21-Aug-39,,,CARRIZAL,PATRICIAJONES@HOTMAIL.COM
31,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,29-Jan-20,TIMOTHY_JOHNSON,,M,12-Apr-92,,,BOLICHE_LATA,MICHAELBOWEN@YAHOO.COM
32,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,30-Nov-19,DONNA_WALKER,,F,09-Jun-11,,,ALDEA_SAN_GREGORIO,REBECCAWHITE@GMAIL.COM
33,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_TERAPIA_OCUPACIONAL,21-Jun-20,TODD_SHANNON,,M,08-Nov-01,,,BREA_CHIMPANA,BRIANSMITH@HOTMAIL.COM
34,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,AGRONOMÍA,07-Oct-19,CHRISTINA_GEORGE,,F,23-Jul-04,,,RAWSON,NPOPE@YAHOO.COM
35,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,12-Oct-19,SYLVIA_SELLERS,,F,10-Nov-35,,,LA_MOROCHA,MEDINAANITA@HOTMAIL.COM
36,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,27-Jun-20,KYLE_ARROYO,,M,02-Feb-44,,,EMPALME_FRONTERA,MICHELLE02@HOTMAIL.COM
37,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PSICOLOGÍA,17-Nov-19,BARBARA_SELLERS,,F,18-Aug-72,,,JUAN_E_BARRA,URICHARDSON@GMAIL.COM
38,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PRODUCCIÓN_DE_BIOIMAGENES,21-Jan-20,EMILY_LEE,,F,22-Oct-07,,,ABDON_CASTRO_TOLAY,EGARRISON@YAHOO.COM
39,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_RELACIONES_DEL_TRABAJO_,18-Feb-20,AMANDA_FITZGERALD,,F,26-Jun-52,,,AGUA_DE_LAS_PALOMAS,CHRISTOPHER23@HOTMAIL.COM
40,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,CIENCIAS_VETERINARIAS,09-Jan-20,CHRISTINE_WALKER,,F,29-Jun-99,,,AVIA_TERAI,HINESPATRICK@YAHOO.COM
41,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,21-Mar-20,JOSEPH_MORALES,,M,14-Nov-16,,,CHAPALEUFU,AUSTINLEE@GMAIL.COM
42,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,15-Mar-20,JAMES_CHASE,,M,04-Feb-32,,,ANGEL_GALLARDO,GOODWINMICHELLE@YAHOO.COM
43,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_KINESIOLOGÍA_Y_FISIATRÍA,14-Mar-20,STEPHEN_BOLTON,,M,15-Apr-15,,,20_DE_SEPTIEMBRE,BALLARDKENNETH@GMAIL.COM
44,UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,22-Jul-20,DAWN_HOGAN,,F,14-Apr-44,,,ARENAZA,CCASTILLO@HOTMAIL.COM
